procedure id,#instructions,#samples,inYara?,0752c7e01025cf3689ce283e0389d388f7268048,b0e0853d1aa3c318627f92bec64fe7d42490cb3a,a0d9f148e319fb604d7a70f4b482a2d9d06232fb
33d2353abdb8ae193772400c8b7c93b5,153,3,False,0x3fa2c,0x418ac,0x3fb6c
33d49844d90a51608c7b12aecc95a07e,17,3,False,0x534a0,0x54580,0x53610
33e51450c28681e90831f1c676a46ea9,15,3,False,0x16e04,0x16128,0x16f44
345489d74fbaf24672af2abc78d45e12,27,3,False,0x4f8e0,0x511a0,0x4fa50
34825910ced769158d6f05b15241ca02,69,3,False,0x4ce50,0x4e7e0,0x4cfc0
34b76db3f76ef4c75924e79080945aa1,39,1,False,-,0xc0ec,-
35209a9fe201407fff817365dee0fb50,41,1,False,-,0x56f0,-
352a19c046e9e0121306e91c39291c1c,57,1,False,-,0x5ff8,-
35410af49134a61f7f10928c84a3ca0b,64,3,False,0x46960,0x48600,0x46ad0
35ba35c041ba42b3e8d2bf8adb49c0e9,14,3,True,0xdf18,0xd208,0xe058
35cc983518bc083d53569d080deb3a9f,262,3,False,0x2968c,0x2914c,0x297cc
35e0b290005e6255a23ae4083fa43a25,446,3,True,0x13e3c,0x1312c,0x13f7c
363c8322f7a9f7a62d0320dc51de8c88,156,3,False,0xbf84,0xb1e4,0xc0c4
3649dac84738e52738976d216715da9e,6,3,False,0x434f0,0x44f20,0x43570
36a386a2916b35aa6a5af6bed789f57e,88,3,True,0xc234,0xb494,0xc374
36db7169311a91802f028e5e847cbfc1,26,3,False,0x53b40,0x54c80,0x53cb0
37247b8e6b37d8fa1ace5155ec8907b5,44,3,False,0xecd0,0xdfc0,0xee10
378afba00b98813499501a0ad6ec5ff3,10,3,False,0x52950,0x53b10,0x52ac0
3797044142dbb88c1118040232673342,30,3,False,0x3c7b0,0x3c5a0,0x3c8f0
37d4f5a3901d439bd1a9bba4cf1f43ab,195,3,False,0xb1f4,0xa504,0xb334
381c4d9c40f5da3087475b9e1b1c22a5,30,3,True,0x28b68,0x28628,0x28ca8
38e8a2018ebdc1ac35d787b325ea2034,14,3,False,0x16ac8,0x15dec,0x16c08
391c7d3199b97f30599f19d47c2ba00e,64,1,False,-,0x44c00,-
392ee9f565682fc716de28e08ff25d6d,268,1,False,-,-,0x3ff14
39ac7b6608eeae8d5ae599d04255ab27,2,3,False,0x4b724,0x4d644,0x4b894
39f0c7f354597b27fd977c8dbeb5736f,70,3,True,0x2b7b0,0x2b270,0x2b8f0
39f3bf56d9496c9037b42e50eccecde5,6,3,False,0xc218,0xb478,0xc358
3a83b7367c686644f90199ecde74ce43,5,3,False,0x2bbf0,0x2b6b0,0x2bd30
3aa08add5c4d9b2ca5910da7272b3462,8,3,False,0x40d00,0x421d0,0x40e40
3aa8838fd321692bdf3d49af0d21d68b,44,3,False,0x14538,0x13828,0x14678
3ac103236805be43b75232d0a7afc813,157,1,False,-,0x2fee8,-
3b738490c13d43553d1872bbd1005588,43,3,True,0x2b568,0x2b028,0x2b6a8
3ba617d6645e53863f903518227514b6,7,3,False,0x4e7f8,0x50188,0x4e968
3bcf88821910e84498047790240fd715,181,3,False,0x13acc,0x12dbc,0x13c0c
3c95458390e5904e4d6324157e34d604,105,3,True,0x35364,0x348f4,0x354a4
3da6e97079d0f65486851863fd921d97,101,3,True,0x2fa64,0x2f524,0x2fba4
3dddfaa5045c42ebe2094bd6ffa1fbb0,142,2,False,0x67c8,-,0x6958
3ed6b7191477934c84cea5805bdadba5,149,2,False,-,0x1fa00,0x20080
3f062ad4f93cebeb3964f46a05cd0e9c,50,3,False,0x4b3e0,0x4d4b0,0x4b550
3f5e9ad8637136c3bddd0163dfde0b18,69,3,True,0x40a34,0x42a14,0x40b74
4077e4d64ba277ef6feac929ea34f572,34,3,False,0x4be10,0x4dcd0,0x4bf80
40b03d5854652bbe63a2685beffae0a5,29,3,False,0x77e8,0x6a28,0x7928
40c854c1e8c828875bc8417c1dfa54bd,91,3,False,0xdacc,0xcdbc,0xdc0c
419c1c299c8290590f99edaa57ffa61c,257,3,False,0x372e4,0x36694,0x37424
422c9612ccd52b88d53e2092d8b92703,107,3,False,0x1b3c8,0x1a784,0x1b508
432881b37c819ea3bcec2bd1a6053443,19,2,False,0x53110,-,0x53280
43ca9f7a53d9c48f2d9c0bf7ac5d02bd,538,3,False,0x214a4,0x20f64,0x215e4
444785e22d492470a0e7f385240d9f47,250,3,False,0x49030,0x4b0a0,0x491a0
44512e9d31f88ffbfb6d72b957047e77,99,3,False,0x45820,0x47340,0x45990
449065ed0784f988fff2a208893ed412,80,3,False,0x1747c,0x165dc,0x175bc
44a4f0abe5121e9246e11540f9c32feb,61,1,False,-,0x6380,-
44d80f58fa9f46bc4783b5386ac6b468,18,3,False,0x4f6b0,0x51040,0x4f820
44db4a5d5315016611c2eb5cc6e83e57,308,2,False,0x20b8,-,0x20a0
45045e01a5421c53a63866ad07a74edc,13,3,False,0xec9c,0xdf8c,0xeddc
45f90313e811c8ba55e4fae319b8392a,228,3,False,0x12e00,0x120f0,0x12f40
