procedure id,#instructions,#samples,inYara?,f16c48ead435d2574abd2e18836681ba2ce788e7,8c29ad07039b6d5b672743efc007fc07f4197b68
8b5d1de4a3dbb866ae8740ad8088ce71,8,2,False,0x33564,0x33294
8c6587d32b62721baf577d4751df314f,82,2,False,0x6474,0x6284
8cfb68c879f8afb98257a4b4d9e2babb,23,2,False,0xea38,0xe848
8df5b4bc94738349cc8796f4d6d89788,140,2,False,0x1bbac,0x1b9bc
8ecc40a35d4465bea737700af7409bf2,44,2,False,0xf748,0xf558
8f65b4508058f8836f6635c0846a008b,6,2,False,0x94,0x94
90c427b3ff7fe005b80859ca6c9e25a0,24,2,False,0x321e0,0x31f10
90ce40f22a2b6b1c2bf33a15aa07e2c7,2,2,False,0x33fa0,0x33cd0
918edcecbc47b8c7665f66656e32b124,48,2,False,0xfbe0,0xf9f0
91b903f7e69a85c22031f936d2c8efea,36,2,False,0x31e6c,0x31b9c
9206c1e6d7aeb63e0d2f77bb0cca5c3e,84,2,False,0x13010,0x12e20
9267e08a072540919ae5865063c3bfe2,189,2,True,0x4c74,0x4a84
92e75f9839a317ecda6e02286eb5d36b,233,2,False,0x18d00,0x18b10
9378aeda008ab55425ba9fc615fc5d4f,80,2,True,0x23f68,0x23d78
93ded35e597228b644b06915e33105e8,123,2,True,0xd4e8,0xd2f8
94fc33b35d7cd1769c308d9799f173ce,12,2,False,0xba7c,0xb88c
963c7bb85f4fcb2b4b549cbacc2e9a7c,38,2,False,0x31dd4,0x31b04
97aa9425c2cf62516260c56bfc962ddf,70,2,False,0x92c0,0x90d0
98097b813977602c4363e744ff9720bb,33,2,False,0x308d8,0x306b4
98e03c0fb1fc800af0b1815d0ffc24d0,148,2,True,0xcb64,0xc974
99179f2de573e5a0a0583826b01f391f,61,2,False,0x34d50,0x34a80
9a62bec9bef4f08ae921c07ba4ad8fda,25,2,False,0x35130,0x34e60
9ad3329e3458960bcaf9706031ac7e7e,70,2,False,0x1817c,0x17f8c
9b0fa8e6aa78faa7318c86f3a1ae3608,47,2,False,0x36b88,0x368ec
9d02b5a33d71289de25ff2210d8032bd,103,2,False,0x17fac,0x17dbc
9d65849350bb0473689801eaeb644822,75,2,False,0x38788,0x384ec
9d6e9ba0f480ea8becd5f9cb9e9d56b8,224,2,False,0x216d8,0x214e8
9d7035bfe179028b4304e3054ebb952a,502,2,False,0x39b20,0x39880
9d73907e39440122b3ea0fb4cd1c40d1,17,2,False,0x1f354,0x1f164
9e5a27540097d59651046d3ae3720aa5,123,2,True,0x2d2d0,0x2d0e0
